Color,Description
#d0fcfc,no ASN
#9f3bd6,8767
#e30ec1,3356
#969b27,29
#e888ce,16625
#6b8964,9930
#240c3a,19551
#359db4,1299
#85622b,8075
#5a7639,22822
#7191b8,38622
#66e59e,25003
#508e09,29049
#b2d6b1,31549
#a7b215,2603
#90f4b8,15474
#b8df44,13335
#09bdb6,59193
#155efa,55824
#7acad8,11537
#4a4d04,55836
#9c4a86,6461
#eeb869,2914
#1a5c3e,20940
#c9f114,4637
#3917ab,1221
#951c3c,174
#635300,18229
#5cf870,150008
#e4887f,4755
#c98c98,6453
#aca4eb,9498
#e34f8e,55410
#e5e24b,6805
#370a28,12956
#5abbf5,12638
#947da5,12389
